regime,horizon,metric,metric_column,mean_standard,mean_va_diff,mean_delta_va_minus_standard,std_delta,median_delta,mean_percentage_improvement,va_wins,n_seeds,comparison_direction
Medium,24,MAE,median_mae,0.00511663198188954,0.005136633312757199,2.000133086765988e-05,2.9376711708838603e-05,1.3437989538699936e-05,-0.39185658604209694,1,5,lower_is_better
Medium,24,RMSE,median_rmse,0.00796444467316964,0.00797766128506224,1.3216611892599706e-05,2.128006053511141e-05,1.184652622380003e-05,-0.16635216824602034,1,5,lower_is_better
Medium,24,PICP90,picp,0.8718744089275582,0.8722526952903348,0.0003782863627766142,0.004225138623735307,-0.000567429544164888,2.0301720269457193,2,5,closer_to_0.90_is_better
Medium,24,interval_width,interval_width,0.01984457233725334,0.019982357163161657,0.00013778482590831934,0.0004043064131593082,0.00026632825619300055,-0.6873268672527117,1,5,lower_is_better
High,1,CRPS,crps,0.0053492817572418595,0.00535272554502434,3.443787782479897e-06,1.730637257183442e-05,9.743889279200182e-06,-0.06523389629883694,1,5,lower_is_better
High,1,MAE,median_mae,0.0072018240260986,0.00719455310448292,-7.2709216156797984e-06,2.3096506789728923e-05,-1.1116312793499686e-05,0.09976407446919572,3,5,lower_is_better
High,1,RMSE,median_rmse,0.010743263016058921,0.010730101994538641,-1.3161021520280426e-05,2.0629103687513052e-05,-9.204365916001128e-06,0.12189994954742475,3,5,lower_is_better
High,1,PICP90,picp,0.8444659255679072,0.8437892701788303,-0.0006766553890768856,0.013128310349983388,0.002899951667472145,0.4023640273169072,3,5,closer_to_0.90_is_better
High,1,interval_width,interval_width,0.02565244997535892,0.02566240397567098,9.954000312058925e-06,0.001171342374920147,0.0003885227161782995,0.0008483588551107424,2,5,lower_is_better
High,6,CRPS,crps,0.00503168106150036,0.00503720559593328,5.524534432919948e-06,6.193219098423232e-06,5.137755404800021e-06,-0.1098563133021172,1,5,lower_is_better
High,6,MAE,median_mae,0.00673581794632422,0.006739284435722059,3.4664893978398477e-06,1.990000659512439e-05,7.362759022995838e-07,-0.051616223721249174,2,5,lower_is_better
High,6,RMSE,median_rmse,0.00983456475818852,0.00983511925776996,5.544995814399378e-07,1.3361280521662062e-05,1.0531806072001937e-06,-0.005430788117662299,2,5,lower_is_better
High,6,PICP90,picp,0.8628322861285644,0.8663122281295312,0.0034799420009666627,0.00796680759174072,0.005799903334944401,6.980297925337861,4,5,closer_to_0.90_is_better
High,6,interval_width,interval_width,0.026296241480378603,0.02661735471233822,0.0003211132319596202,0.0008982730410511765,0.0002505545199765029,-1.301082367648331,2,5,lower_is_better
High,24,CRPS,crps,0.00462356036901916,0.00464857012261186,2.5009753592700016e-05,9.757800038632566e-06,2.6976817773300202e-05,-0.5413643600025033,0,5,lower_is_better
High,24,MAE,median_mae,0.00612679307963006,0.00614358594400848,1.6792864378420078e-05,1.9197303958917948e-05,2.4966317605800564e-05,-0.2750196464425234,1,5,lower_is_better
High,24,RMSE,median_rmse,0.00893225171025942,0.00894002929647088,7.77758621146006e-06,1.5966781142460875e-05,9.370665515399598e-06,-0.08752448018550373,1,5,lower_is_better
High,24,PICP90,picp,0.9008216529724503,0.9045915901401644,0.0037699371677139435,0.004874162295013592,0.004833252779120389,-555.5448345692471,0,5,closer_to_0.90_is_better
High,24,interval_width,interval_width,0.027766042502946682,0.028345061580926402,0.00057901907797972,0.0003552042025720611,0.0005964922141298012,-2.0857184896758385,0,5,lower_is_better
